id1,id2,score
RE-MOL-0000318902,negative,-2.3984047192
RE-MOL-0000001293,negative,53.6415952808
RE-MOL-0000075422,negative,23.5315952808
RE-MOL-0000123129,negative,31.8115952808
RE-MOL-0000377210,negative,15.3515952808
RE-MOL-0000001940,negative,20.7315952808
RE-MOL-0000401010,negative,65.0215952808
RE-MOL-0000123129,negative,94.1915952808
RE-MOL-0000016073,negative,0.8615952808
RE-MOL-0000017147,negative,64.0315952808
RE-MOL-0000043950,negative,68.6815952808
RE-MOL-0000575640,negative,77.84159528080001
RE-MOL-0000402554,negative,-0.8884047192000001
RE-MOL-0000575386,negative,0.9015952808000001
RE-MOL-0000017325,negative,35.5815952808
RE-MOL-0000585498,negative,98.4915952808
RE-MOL-0000000470,negative,26.9215952808
RE-MOL-0000000470,negative,50.1515952808
RE-MOL-0000801341,negative,1.3815952808
RE-MOL-0000801341,negative,-12.9084047192
RE-MOL-0000293904,negative,-7.5284047192
RE-MOL-0000316629,negative,98.2015952808
RE-MOL-0001086878,negative,32.5015952808
RE-MOL-0000017147,negative,53.9015952808
RE-MOL-0000007863,negative,92.9115952808
RE-MOL-0000000470,negative,34.0615952808
RE-MOL-0000377210,negative,17.4715952808
RE-MOL-0000017147,negative,60.1915952808
RE-MOL-0000061053,negative,-5.4384047192
RE-MOL-0000024449,negative,32.3415952808
RE-MOL-0000024449,negative,33.0515952808
RE-MOL-0000377210,negative,30.4615952808
RE-MOL-0000006951,negative,38.4415952808
RE-MOL-0000009769,negative,8.2515952808
RE-MOL-0000005036,negative,55.1415952808
RE-MOL-0000046105,negative,9.4615952808
RE-MOL-0000071515,negative,0.5915952808
RE-MOL-0000293904,negative,19.5215952808
RE-MOL-0000402554,negative,1.7115952808000001
RE-MOL-0000009769,negative,64.3115952808
RE-MOL-0000005427,negative,15.6316
RE-MOL-0000208410,negative,6.911595
RE-MOL-0000274994,negative,-1.6184049999999999
RE-MOL-0000075835,negative,98.7816
RE-MOL-0000001940,negative,-12.3484
RE-MOL-0000046105,negative,32.2816
RE-MOL-0000327950,negative,3.141595
RE-MOL-0000012857,negative,12.7416
RE-MOL-0000075422,negative,58.4716
RE-MOL-0001086878,negative,-2.728405
RE-MOL-0000005874,negative,6.264595
RE-MOL-0000005427,negative,4.021595
RE-MOL-0001086878,negative,30.1316
RE-MOL-0000000470,negative,44.8916
RE-MOL-0000016073,negative,25.5216
RE-MOL-0000005427,negative,4.831595
RE-MOL-0000001940,negative,18.3316
RE-MOL-0000316629,negative,97.8916
RE-MOL-0000075422,negative,66.4116
RE-MOL-0001086878,negative,41.3516
RE-MOL-0000005874,negative,5.060595
RE-MOL-0000327950,negative,-4.348405
RE-MOL-0000006951,negative,93.2016
RE-MOL-0000216978,negative,2.101595
RE-MOL-0000347465,negative,4.401595
RE-MOL-0000000470,negative,33.6416
RE-MOL-0001086878,negative,0.9515952999999999
RE-MOL-0001086878,negative,47.0016
RE-MOL-0000003872,negative,77.0856
RE-MOL-0000376867,negative,97.7816
RE-MOL-0000327950,negative,-5.768405
RE-MOL-0000001940,negative,42.4716
RE-MOL-0000402383,negative,54.7816
RE-MOL-0000024449,negative,35.6216
RE-MOL-0000585498,negative,98.5116
RE-MOL-0000316629,negative,97.0816
RE-MOL-0000024449,negative,38.6716
RE-MOL-0000293904,negative,-16.5184
RE-MOL-0000009769,negative,48.7516
RE-MOL-0000239211,negative,-3.198405
RE-MOL-0000005036,negative,61.4316
RE-MOL-0000017835,negative,-5.378405
RE-MOL-0000024449,negative,30.0416
RE-MOL-0000000470,negative,34.4516
RE-MOL-0000016073,negative,11.9316
RE-MOL-0000001940,negative,-2.108405
RE-MOL-0001086878,negative,0.7615953
RE-MOL-0000004249,negative,-7.618405
RE-MOL-0000004057,negative,1.491595
RE-MOL-0000004249,negative,-5.878405
RE-MOL-0000575640,negative,1.791595
RE-MOL-0000004057,negative,-6.368405
RE-MOL-0000318902,negative,-7.948405
RE-MOL-0000005874,negative,-0.8154047
RE-MOL-0000006951,negative,95.9816
RE-MOL-0000009357,negative,14.0816
RE-MOL-0000006951,negative,40.1816
