id1,id2,score
RE-MOL-0000001293,negative,53.6415952808
RE-MOL-0000075422,negative,21.6291643714
RE-MOL-0000377210,negative,15.3515952808
RE-MOL-0000001940,negative,9.6991643714
RE-MOL-0000401010,negative,21.6891643714
RE-MOL-0000123129,negative,35.2691643714
RE-MOL-0000017147,negative,42.1291643714
RE-MOL-0000043950,negative,30.5391643714
RE-MOL-0000575640,negative,77.84159528080001
RE-MOL-0000575386,negative,0.9015952808000001
RE-MOL-0000585498,negative,7.7191643714
RE-MOL-0000000470,negative,26.9215952808
RE-MOL-0000000470,negative,50.1515952808
RE-MOL-0000801341,negative,3.5301836433
RE-MOL-0000801341,negative,0.1501836433
RE-MOL-0000316629,negative,27.2501836433
RE-MOL-0001086878,negative,32.5015952808
RE-MOL-0000017147,negative,12.8291643714
RE-MOL-0000377210,negative,17.4715952808
RE-MOL-0000017147,negative,11.6391643714
RE-MOL-0000024449,negative,32.3415952808
RE-MOL-0000024449,negative,33.0515952808
RE-MOL-0000377210,negative,30.4615952808
RE-MOL-0000005874,negative,6.9305952808
RE-MOL-0000009769,negative,8.2515952808
RE-MOL-0000005036,negative,12.7591643714
RE-MOL-0000046105,negative,9.4615952808
RE-MOL-0000293904,negative,18.9491643714
RE-MOL-0000009769,negative,64.3115952808
RE-MOL-0000075835,negative,83.51916
RE-MOL-0000046105,negative,32.2816
RE-MOL-0000012857,negative,12.7416
RE-MOL-0000075422,negative,25.55916
RE-MOL-0000016073,negative,22.00916
RE-MOL-0000005427,negative,4.831595
RE-MOL-0000001940,negative,18.28916
RE-MOL-0000075422,negative,26.11916
RE-MOL-0000005874,negative,5.060595
RE-MOL-0000216978,negative,4.210184
RE-MOL-0000000470,negative,33.6416
RE-MOL-0001086878,negative,0.9515952999999999
RE-MOL-0001086878,negative,47.0016
RE-MOL-0000003872,negative,39.55416
RE-MOL-0000001940,negative,34.35916
RE-MOL-0000402383,negative,54.7816
RE-MOL-0000024449,negative,35.6216
RE-MOL-0000316629,negative,94.01018
