id1,id2,score
RE-MOL-0000001293,negative,-1.1090971735666635
RE-MOL-0000075422,negative,-0.3516112150598945
RE-MOL-0000377210,negative,-0.2404452154892555
RE-MOL-0000001940,negative,-0.14718875666451553
RE-MOL-0000401010,negative,-0.352716152299714
RE-MOL-0000123129,negative,-0.6274749667367452
RE-MOL-0000017147,negative,-0.7890916187672083
RE-MOL-0000043950,negative,-0.5257283281353152
RE-MOL-0000575640,negative,-2.174074075708956
RE-MOL-0000575386,negative,-0.013066261715998815
RE-MOL-0000585498,negative,-0.11589702680297621
RE-MOL-0000000470,negative,-0.45248295420082496
RE-MOL-0000000470,negative,-1.0043807595823604
RE-MOL-0000801341,negative,-0.05185047482929716
RE-MOL-0000801341,negative,-0.0021683206134257794
RE-MOL-0000316629,negative,-0.45898448867554886
RE-MOL-0001086878,negative,-0.567074689477909
RE-MOL-0000017147,negative,-0.19808255543194567
RE-MOL-0000377210,negative,-0.27703734165546046
RE-MOL-0000017147,negative,-0.17852103255976148
RE-MOL-0000024449,negative,-0.5636589338777156
RE-MOL-0000024449,negative,-0.5788784162028917
RE-MOL-0000377210,negative,-0.5241181243144615
RE-MOL-0000005874,negative,-0.10362111522618836
RE-MOL-0000009769,negative,-0.12424502165857054
RE-MOL-0000005036,negative,-0.19692450611613163
RE-MOL-0000046105,negative,-0.1433982082704086
RE-MOL-0000293904,negative,-0.30310103498017016
RE-MOL-0000009769,negative,-1.486472680895695
RE-MOL-0000075835,negative,-2.6011383188134087
RE-MOL-0000046105,negative,-0.5623802081767661
RE-MOL-0000012857,negative,-0.19663407468232721
RE-MOL-0000075422,negative,-0.4258337598423008
RE-MOL-0000016073,negative,-0.3586234050483492
RE-MOL-0000005427,negative,-0.0714454028180651
RE-MOL-0000001940,negative,-0.2914006116589759
RE-MOL-0000075422,negative,-0.43672782552227557
RE-MOL-0000005874,negative,-0.07492108668562923
RE-MOL-0000216978,negative,-0.06205581248841644
RE-MOL-0000000470,negative,-0.5916489937034962
RE-MOL-0001086878,negative,-0.013794356016246902
RE-MOL-0001086878,negative,-0.9159792889267815
RE-MOL-0000003872,negative,-0.7262850410686564
RE-MOL-0000001940,negative,-0.607334393877293
RE-MOL-0000402383,negative,-1.1450181499651781
RE-MOL-0000024449,negative,-0.6353513730073026
RE-MOL-0000316629,negative,-4.0613435405184655
RE-MOL-0000009769,negative,-0.9644211312077834
RE-MOL-0000024449,negative,-0.5154308007458874
RE-MOL-0000000470,negative,-0.6093675293943753
RE-MOL-0000016073,negative,-0.37462027211553217
RE-MOL-0001086878,negative,-0.01102955141334336
RE-MOL-0000004057,negative,-0.004177803734679606
RE-MOL-0000318902,negative,-0.0020091162092177634
RE-MOL-0000006951,negative,-0.17021797041504658
RE-MOL-0000009357,negative,-0.21896096764362663
RE-MOL-0000293904,negative,-0.18523073824700842
RE-MOL-0000000470,negative,-0.6468257856156819
RE-MOL-0000401010,negative,-0.165679703564012
RE-MOL-0000017147,negative,-0.10779029290066153
RE-MOL-0000208410,negative,-0.09421158264964066
RE-MOL-0000075835,negative,-1.4981445015435944
RE-MOL-0000043950,negative,-0.942006648864001
RE-MOL-0000071515,negative,-0.1577719268717613
RE-MOL-0000005427,negative,-0.6235227959905415
RE-MOL-0000318902,negative,-0.2243032147170972
RE-MOL-0000192053,negative,-1.0874756808850554
RE-MOL-0000000470,negative,-0.9054016539217216
RE-MOL-0000012857,negative,-0.13466067992484118
RE-MOL-0000011320,negative,-0.16584160968744988
RE-MOL-0000208410,negative,-0.24676508881806034
RE-MOL-0000213627,negative,-1.313354985303584
RE-MOL-0000024449,negative,-0.6342312215651121
RE-MOL-0000004249,negative,-0.49658196178448616
RE-MOL-0000376867,negative,-0.02299996312111466
RE-MOL-0000001293,negative,-0.41372227031798675
RE-MOL-0000004057,negative,-0.09125109280617012
RE-MOL-0000042933,negative,-0.21709133676071551
RE-MOL-0000000470,negative,-0.45287784308759904
RE-MOL-0000046105,negative,-0.1700951728988108
RE-MOL-0000005036,negative,-0.1728177609034459
RE-MOL-0000401765,negative,-0.2877328854672082
RE-MOL-0000009769,negative,-0.7839262685390156
RE-MOL-0000401765,negative,-0.3830996651008948
