id1,id2,score
AARS2,AARS2,-0.12678452051325
AARS2,AATF,-0.18620084152455
AARS2,ABCB7,-0.495731535244125
AARS2,ACTL6A,-0.3070165085976249
AARS2,ACTR10,-0.1734242530379541
AARS2,ADAT2,-0.1654997598575562
AARS2,ADPRM,-0.1439027166775187
AARS2,AFG3L2,-0.1335204055390458
AARS2,ANAPC13,-0.1312548315600812
AARS2,ANKZF1,-0.1650898549230125
AARS2,APOOL,-0.1258921370482458
AARS2,ARGLU1,-0.2342359731868125
AARS2,ARIH1,-0.26020442667875
AARS2,ARL2,-0.2931238626365
AARS2,ASCC3,-0.2148353246875
AARS2,ASNA1,-0.139797202742425
AARS2,ATP1A1,-0.1895351644534062
AARS2,ATP5A1,-0.188114600614125
AARS2,ATP5F1,-0.1623945033704374
AARS2,ATP5J2,-0.14751002338105
AARS2,ATP6V1G1,-0.13249010087445
AARS2,ATXN10,-0.142999036354875
AARS2,AURKA,-0.4234071824522499
AARS2,BDP1,-0.2574483153877281
AARS2,BNIP1,-0.36923721343175
AARS2,BOD1L1,-0.1947899196431312
AARS2,BTF3,-0.1287502035723124
AARS2,BUB3,-0.2806724726779208
AARS2,C11orf30,-0.1537923115668958
AARS2,C14orf178,-0.1271891604018625
AARS2,C14orf2,-0.1288670446927375
AARS2,C6orf203,-0.1147743063892375
AARS2,C9orf114,-0.482525354515625
AARS2,CACTIN,-0.2778359665710625
AARS2,CAMLG,-0.1520650983745625
AARS2,CAPZB,-0.1855256385444375
AARS2,CARS,-0.1933303178467666
AARS2,CARS2,-0.1633394665965875
AARS2,CCDC84,-0.1785904052709125
AARS2,CCNK,-0.1175840939854291
AARS2,CCT8,-0.1703420038081791
AARS2,CDC16,-0.4188541971705
AARS2,CDC23,-0.224058954984
AARS2,CDC26,-0.1347433233404493
AARS2,CDC27,-0.1766455628619562
AARS2,CDC40,-0.395820450454375
AARS2,CDC73,-0.1391399862949125
AARS2,CDK1,-0.134688032023325
AARS2,CDK12,-0.2176379048427625
AARS2,CENPK,-0.1384622044124625
AARS2,CENPM,-0.2074984815955
AARS2,CENPP,-0.3300476929875
AARS2,CENPW,-0.1725195090395416
AARS2,CEP152,-0.1413976523198083
AARS2,CEP192,-0.219628397483875
AARS2,CEP63,-0.1374452947533375
AARS2,CHMP2A,-0.2597188280005416
AARS2,CIRH1A,-0.371956497075375
AARS2,CMAS,-0.1631092191369446
AARS2,CNOT1,-0.32963956849825
AARS2,COA3,-0.214791685519275
AARS2,COG3,-0.1305848132900812
AARS2,COPA,-0.294758085368375
AARS2,COPE,-0.2186695893439918
AARS2,COPS2,-0.097542435008035
AARS2,COPS4,-0.1711155750593583
AARS2,COPS5,-0.1118134798512312
AARS2,COQ2,-0.2185410857919937
AARS2,COX16,-0.1158911535054687
AARS2,COX5A,-0.1217561345549937
AARS2,COX6C,-0.1373603717301125
AARS2,COX7C,-0.1824797637380125
AARS2,CSTF3,-0.2146172329427416
AARS2,CTNNBL1,-0.2616048080485625
AARS2,CWC22,-0.32898960869525
AARS2,CYB5B,-0.1478366731254312
AARS2,DAP3,-0.1454563544818166
AARS2,DARS,-0.260601021618125
AARS2,DCAF7,-0.262146953879875
AARS2,DCTN4,-0.1530150535757062
AARS2,DDX18,-0.2804393329628557
AARS2,DDX46,-0.2595090532719312
AARS2,DHODH,-0.4613182256315
AARS2,DHX37,-0.4532319718025
AARS2,DICER1,-0.1521208054109937
AARS2,DLST,-0.2101793924825687
AARS2,DNTTIP2,-0.21534346954165
AARS2,DUT,-0.24997402342725
AARS2,DYNC1H1,-0.1518655485023208
AARS2,EBNA1BP2,-0.255324967111375
AARS2,EEF1G,-0.22153810457625
AARS2,EFR3A,-0.1596894703106833
AARS2,EIF2B2,-0.3772401305355
AARS2,EIF2B5,-0.277774835402875
AARS2,EIF3C,-0.2025059471397187
AARS2,EIF3D,-0.1266391262903037
AARS2,EIF3H,-0.219347843036875
AARS2,EIF3M,-0.2080596093367062
AARS2,EIF4A1,-0.1395819103809458
AARS2,EIF4G1,-0.327453305485375
AARS2,EIF4G2,-0.112979061064125
AARS2,EIF5B,-0.2107323002010133
AARS2,EIF6,-0.2432221829401875
AARS2,ELP4,-0.2115918601112562
AARS2,EMC1,-0.1491794658085937
AARS2,EMC2,-0.19511457924375
AARS2,EMC4,-0.2133442417831875
AARS2,EMC6,-0.120889346595025
AARS2,EMC7,-0.1530902956996125
AARS2,EMG1,-0.474415649025
AARS2,ERH,-0.0981830340270937
AARS2,EXOSC2,-0.380982452373375
AARS2,EXOSC4,-0.3451363222400624
AARS2,EXOSC6,-0.1122823338625506
AARS2,EXOSC9,-0.1777378749365125
AARS2,FAM208A,-0.1866609266616562
AARS2,FAM50A,-0.432820912337125
AARS2,FAM98B,-0.1698774979164916
AARS2,FARSA,-0.1601291341395
AARS2,FARSB,-0.1709970646797437
AARS2,FBXO28,-0.1550457242795625
AARS2,FDPS,-0.1854082335416187
AARS2,FH,-0.259476199645725
AARS2,FIP1L1,-0.1804696495155562
AARS2,GEMIN2,-0.440581143400375
AARS2,GEMIN4,-0.34348810781075
AARS2,GFER,-0.465159966855
AARS2,GFI1B,-0.1140251463140875
AARS2,GNL2,-0.3277256544051875
AARS2,GNL3L,-0.373037952865375
