id1,id2,score
FEV,FEV,12.44425082
FEV,PRTG,11.558372
ATL1,UBASH3B,11.22405942
DUSP9,MAPK1,10.97294961
ISL2,ISL2,10.33474141
PTPN12,SNAI1,10.07555502
CEBPA,KLF1,10.07008471
IKZF3,MAP2K3,9.537746863
IKZF3,MAP2K6,8.961105885
FEV,IGDCC3,8.925875811
ARRDC3,SLC38A2,8.871830381
CBFA2T3,CBFA2T3,8.724507665
NIT1,ZC3HAV1,8.599503353
CEBPA,HK2,8.323957597
CEBPE,ZC3HAV1,8.288154134
CEBPE,KLF1,8.112668533
AHR,KLF1,8.108849223
SPI1,ZC3HAV1,8.033292169
FOXO4,FOXO4,7.87122145
CEBPA,TGFBR2,7.833164675
PTPN12,ZBTB10,7.752122403
MAP2K6,SPI1,7.691201953
BAK1,TMSB4X,7.685756769
PLEKHO2,ZC3HAV1,7.563177638
MEIS1,MEIS1,7.541371437
CBFA2T3,NCL,7.413065639
OSR2,PTPN12,7.367622216
CEBPE,RUNX1T1,7.186707799
RHOXF2B,SET,7.164357199
SET,ZBTB10,7.140547702
FEV,TGFBR2,7.044847805
FOSB,IKZF3,6.979696085
BAK1,ZBTB25,6.972402839
SNAI1,UBASH3B,6.9698056
HOXC13,KLF1,6.920296563
CEBPA,CNN1,6.864405031
RHOXF2B,ZBTB25,6.847164341
BAK1,KLF1,6.838106423
CEBPE,PEG10,6.8357414
SET,SLC38A2,6.744971254
CEBPB,LYL1,6.734497397
OSR2,UBASH3B,6.65485367
HOXA13,ZC3HAV1,6.592662342
HOXC13,ZC3HAV1,6.368610928
CEBPB,IKZF3,6.362877944
MLK4,ZC3HAV1,6.310777629
HK2,HK2,6.239894475
MAP7D1,MAP7D1,6.188061736
FOSB,PTPN12,6.08485282
CEBPA,CKS1B,6.07738389
DUSP9,FEV,6.058086987
MAP7D1,PEG10,6.036483477
CEBPE,TBX2,6.031387677
TSC22D1,TSC22D1,6.03043879
ELMSAN1,RHOXF2B,6.025770884
MAP2K6,SAMD1,5.933798217
IGDCC3,IGDCC3,5.907299284
ARID1A,ARID1A,5.858140862
PRDM1,TBX3,5.826928372
CBL,CBL,5.823363024
ETS2,TGFBR2,5.818769871
CEBPB,FEV,5.810606182
CEBPA,LYL1,5.792156475
SLC38A2,SLC6A9,5.772026246
HNF4A,ZC3HAV1,5.76947998
DUSP9,ETS2,5.73928537
SAMD1,ZC3HAV1,5.729888824
CLDN6,ZC3HAV1,5.697955573
FOSB,UBASH3B,5.691658063
CBL,CEBPA,5.691567712
CEBPE,TBX3,5.568191147
CEBPE,LYL1,5.555053334
FOXA1,ZBTB25,5.531701039
PEG10,RHOXF2B,5.524214055
PEG10,PEG10,5.421371835
MAP2K3,SAMD1,5.412431397
FOXO4,ZC3HAV1,5.375969673
DLX2,PTPN12,5.360251876
ETS2,HNF4A,5.335002798
BCL2L11,KLF1,5.322700102
PTPN9,SNAI1,5.313889763
ZBTB1,ZC3HAV1,5.312336093
CBFA2T3,CEBPE,5.308302042
PTPN1,SNAI1,5.28558843
CEBPE,NCL,5.24140267
CKS1B,DLX2,5.208994293
ATL1,ATL1,5.204497902
BCORL1,CEBPE,5.198937376
BCR,ZBTB25,5.194368162
CEBPE,CKS1B,5.188501565
AHR,CSRNP1,5.15418856
MIDN,ZC3HAV1,5.13404096
CEBPB,PTPN12,5.129323636
OSR2,PTPN9,5.106223807
OSR2,ZBTB25,5.069768958
CEBPE,ISL2,5.038698331
PLEKHO2,PTPN12,5.026011138
CSRNP1,PRDM1,5.024959956
ZBTB10,ZC3HAV1,5.02393557
COL2A1,UBASH3B,5.015677495
KLF1,LHX1,4.991418692
ETS2,TBX3,4.974892352
CSRNP1,FOXA3,4.974020549
COL1A1,ZC3HAV1,4.95879835
FEV,FOSB,4.955169939
NIT1,SLC38A2,4.953744862
MAP2K6,ZBTB1,4.899451335
PRDM1,TBX2,4.87034909
CNN1,DLX2,4.855251139
PRDM1,PRDM1,4.852617324
CITED1,ZC3HAV1,4.838742338
FOXL2,ZBTB25,4.833280061
CSRNP1,HOXC13,4.823506535
CSRNP1,FOXA1,4.813765642
CEBPE,PTPN12,4.805238489
SNAI1,SNAI1,4.803222952
ZBTB25,ZBTB25,4.802981628
PTPN12,RREB1,4.8019537
OSR2,PTPN1,4.7988471
CSRNP1,PLEKHO2,4.793086477
CSRNP1,FOXO4,4.771398048
LYL1,OSR2,4.76120923
OSR2,SAMD1,4.707733358
MAML2,PRDM1,4.687171717
PTPN9,S1PR2,4.654196717
BAK1,ELMSAN1,4.649770151
ISL2,PTPN1,4.635617326
MAP2K3,PTPN9,4.596962677
HES7,IRF1,4.583002253
CNN1,ISL2,4.56298707
PEG10,SET,4.554581606
LYL1,RREB1,4.550344125
IKZF3,SLC38A2,4.539276842
CEBPB,UBASH3B,4.53190912
LYL1,STIL,4.528109344
FOXA3,ZC3HAV1,4.516303812
POU3F2,POU3F2,4.509091339
IRF1,ZC3HAV1,4.499416848
ETS2,RHOXF2B,4.486230622
CSRNP1,STIL,4.478429497
CBFA2T3,KLF1,4.470722349
MAP7D1,TBX3,4.47032015
CEBPB,RUNX1T1,4.446945689
ETS2,ZBTB25,4.441872146
S1PR2,SAMD1,4.424115171
CBL,SNAI1,4.418774434
PTPN13,ZC3HAV1,4.415044305
SLC6A9,SNAI1,4.41337653
MAP4K5,UBASH3B,4.409565523
BAK1,BCL2L11,4.409541932
OSR2,TBX3,4.398906507
CBL,FOSB,4.394705272
PLEKHO2,RUNX1T1,4.375299709
CEBPE,CSRNP1,4.37262921
CBARP,FEV,4.353319502
S1PR2,S1PR2,4.350426619
ATL1,SLC6A9,4.344798567
MAML2,SLC4A1,4.324809168
MEIS1,SET,4.304354238
IGDCC3,MAPK1,4.300250641
PTPN12,S1PR2,4.287491838
RREB1,ZC3HAV1,4.276837621
LYL1,MAP2K3,4.273585213
FOXA1,PTPN12,4.266644244
CKS1B,SNAI1,4.255166612
CBL,OSR2,4.249647925
KLF1,SPI1,4.248520859
CKS1B,MAP2K6,4.243590136
CEBPE,TGFBR2,4.240243267
LHX1,TGFBR2,4.228481551
BAK1,SAMD1,4.224219888
CBARP,ZC3HAV1,4.220500395
FOSB,PTPN9,4.217170868
BAK1,MEIS1,4.216857609
JUN,JUN,4.211336873
KLF1,STIL,4.207345322
KIF18B,POU3F2,4.200756595
HES7,ZC3HAV1,4.193799416
HNF4A,HNF4A,4.187062442
CBARP,ETS2,4.185893063
NIT1,ZBTB25,4.178007848
MAP4K3,MAP4K3,4.165162777
CEBPE,KMT2A,4.163728925
CDKN1A,STIL,4.144007248
ZNF318,ZNF318,4.137804251
FOSB,PTPN1,4.136200166
LYL1,SNAI1,4.133075119
MAP2K6,ZBTB25,4.1194736
BPGM,CEBPA,4.11466917
CKS1B,RREB1,4.113804002
MAP2K6,PTPN9,4.107712167
HOXA13,KLF1,4.105921553
ATL1,ELMSAN1,4.101160382
AHR,ZC3HAV1,4.096057608
CEBPE,ETS2,4.08893643
BAK1,CNN1,4.077322605
IKZF3,OSR2,4.068964401
KIF18B,PTPN12,4.064952558
S1PR2,UBASH3B,4.060025051
CEBPB,ZC3HAV1,4.047945622
UBASH3B,UBASH3B,4.047418416
HK2,PEG10,4.012489498
CLDN6,RUNX1T1,4.004337853
CEBPB,PTPN9,3.998184299
DLX2,PTPN9,3.993099842
KLF1,RHOXF2B,3.990380397
CDKN1A,ZNF318,3.980513472
BCORL1,CEBPB,3.972952954
ETS2,PLEKHO2,3.963222009
MAPK1,TGFBR2,3.95567623
BAK1,PTPN12,3.955645216
CEBPA,TBX3,3.948574101
LYL1,SET,3.94279621
TMSB4X,ZBTB10,3.931325284
MAP2K6,PTPN1,3.920343728
PTPN12,STIL,3.91385819
FOXO4,MAML2,3.910937541
FEV,ZBTB25,3.909621886
CKS1B,SLC38A2,3.90744351
SPI1,TBX3,3.893166723
PEG10,STIL,3.892237623
CLDN6,PEG10,3.891433498
CEBPA,MEIS1,3.879502253
TGFBR2,TGFBR2,3.874250046
UBASH3B,ZBTB10,3.845521253
IER5L,ZC3HAV1,3.843887003
CEBPA,IGDCC3,3.842495604
ELMSAN1,IER5L,3.832177153
BCORL1,CEBPA,3.825972823
ELMSAN1,HOXA13,3.823458014
CEBPA,FEV,3.822036536
DUSP9,EGR1,3.821532504
CEBPE,SET,3.821361642
CEBPE,PTPN9,3.803188572
POU3F2,SET,3.79848487
ARRDC3,CEBPA,3.796837339
MAP7D1,ZBTB25,3.79372859
CSRNP1,FOXL2,3.781000983
RREB1,UBASH3B,3.778999559
DUSP9,DUSP9,3.765626529
DUSP9,PEG10,3.763093564
ISL2,LYL1,3.758534192
CBL,MAP2K6,3.7503813
PTPN1,S1PR2,3.748802256
CDKN1B,ZC3HAV1,3.743032341
LYL1,NIT1,3.738707444
KLF1,RUNX1T1,3.7184743
MAPK1,RHOXF2B,3.715349981
KLF1,MIDN,3.713017424
ELMSAN1,SPI1,3.707537754
CDKN1A,PTPN9,3.705222176
FOXA1,SAMD1,3.70455238
FOXO4,PTPN9,3.691565524
AHR,TBX2,3.68798089
HNF4A,PEG10,3.684255392
HK2,MAP7D1,3.683273188
CDKN1B,SLC38A2,3.681289337
ETS2,LYL1,3.680339722
CBARP,SLC6A9,3.668013537
LYL1,PLEKHO2,3.662004774
CNN1,COL2A1,3.659987853
DLX2,SET,3.657701396
ZBTB10,ZBTB10,3.650670505
MAP7D1,SAMD1,3.64558079
CBL,ETS2,3.644560646
DUSP9,SLC6A9,3.635802505
PLK4,RUNX1T1,3.633496668
KIF18B,KIF18B,3.623569296
CDKN1A,MAP7D1,3.623324024
CEBPB,KLF1,3.613570262
MAP2K3,SPI1,3.606453728
HOXB9,ZBTB25,3.60349374
CEBPE,COL2A1,3.600736922
NIT1,RUNX1T1,3.593256465
BAK1,CKS1B,3.586260852
BAK1,POU3F2,3.583763637
AHR,TBX3,3.558421794
ETS2,SAMD1,3.556681064
CDKN1A,NIT1,3.539951262
CKS1B,CSRNP1,3.536665331
CNN1,FEV,3.536242724
FOXA1,ZC3HAV1,3.532609447
PLK4,UBASH3B,3.532164227
PRDM1,SLC38A2,3.525459016
MAP7D1,NIT1,3.525220699
TMEM173,TP73,3.524294787
CDKN1B,MAP4K3,3.523194169
ETS2,IGDCC3,3.517946458
FOSB,ZBTB25,3.513298352
DLX2,TMSB4X,3.511812283
EGR1,PEG10,3.506890261
DLX2,UBASH3B,3.497238465
CKS1B,ZC3HAV1,3.493646428
CDKN1C,PEG10,3.489978916
KLF1,SLC4A1,3.488566592
MAP2K3,PTPN1,3.48660577
HNF4A,TBX3,3.47648409
BAK1,TSC22D1,3.471555995
SLC38A2,TP73,3.470575915
SET,SLC6A9,3.469568105
CBFA2T3,CDKN1C,3.467302785
CDKN1A,ETS2,3.459323428
KIF18B,LYL1,3.452350585
MAP2K3,RHOXF2B,3.449941187
CEBPA,DUSP9,3.448976058
IKZF3,RUNX1T1,3.446715442
PRTG,PRTG,3.444372447
OSR2,ZBTB1,3.434444438
FOXL2,ZC3HAV1,3.432765673
CEBPA,SET,3.423627724
ELMSAN1,NIT1,3.419377744
IKZF3,MAPK1,3.415792474
BCORL1,OSR2,3.413355912
ETS2,KLF1,3.413128334
DUSP9,MAP2K6,3.4045032
ELMSAN1,ZBTB1,3.401473996
FOXA3,PTPN12,3.400820624
BCORL1,MAP2K3,3.400133837
NCL,NCL,3.398938514
BAK1,S1PR2,3.396770431
IER5L,SLC38A2,3.396111803
PTPN13,SAMD1,3.381621544
KIF18B,MEIS1,3.380699815
LYL1,SPI1,3.369586269
CBL,LHX1,3.369174513
HOXA13,SAMD1,3.363046193
CKS1B,MAML2,3.362481614
CDKN1A,CNNM4,3.359319553
CBARP,MAPK1,3.35269305
ELMSAN1,POU3F2,3.35138002
PTPN9,RREB1,3.348227594
MAP2K3,ZBTB25,3.346537956
HES7,IGDCC3,3.346466939
DLX2,LYL1,3.343474205
HES7,PRTG,3.340235162
RUNX1T1,STIL,3.339057438
FOXF1,ZBTB25,3.338981384
SAMD1,SAMD1,3.335832508
MAP2K3,ZBTB1,3.329082662
CEBPB,CKS1B,3.328783483
CSRNP1,SPI1,3.327945399
NIT1,SAMD1,3.325429799
CNN1,MAP2K6,3.313806525
CNNM4,HNF4A,3.312405476
CEBPA,COL2A1,3.311520465
CKS1B,HES7,3.310825352
LYL1,MAP2K6,3.301649198
FOXL2,HK2,3.299136288
CBL,ISL2,3.290256969
ELMSAN1,LYL1,3.289224743
HNF4A,TGFBR2,3.282004199
BCL2L11,ELMSAN1,3.28093199
BCR,PTPN1,3.266262779
FOXA1,SLC6A9,3.264849257
SAMD1,TMSB4X,3.260462819
CKS1B,RUNX1T1,3.258492339
S1PR2,ZBTB25,3.258032093
MIDN,TMSB4X,3.25632092
FOSB,HK2,3.25587112
AHR,AHR,3.251446814
COL2A1,PEG10,3.250538474
ELMSAN1,PLEKHO2,3.247656058
MAP4K3,SLC6A9,3.24534571
CEBPB,TBX3,3.244909989
CSRNP1,DUSP9,3.242156263
SLC6A9,ZBTB25,3.235462318
ETS2,SGK1,3.233466229
