gene1,gene2,score
HOXA13,SLC38A2,-0.867929714
NIT1,IRF1,-0.85407578
HOXC13,KIAA1804,-0.852974584
HOXA13,SNAI1,-0.820502154
STIL,PRDM1,-0.816905157
HOXA13,PTPN13,-0.8095739
PRDM1,CEBPE,-0.807588344
NIT1,ATL1,-0.8050012
PTPN13,FOXO4,-0.804930233
CEBPA,HOXA13,-0.802867638
CEBPA,NIT1,-0.800130052
C3orf72,CEBPE,-0.799088088
HOXA13,CEBPE,-0.797715996
IKZF3,NIT1,-0.796480607
NIT1,IKZF3,-0.793958087
COL2A1,NIT1,-0.789184895
HOXA13,ZNF318,-0.788076521
FOXO4,HOXA13,-0.787311831
HOXA13,NIT1,-0.787306477
FOXF1,NIT1,-0.786491625
NIT1,CEBPE,-0.786186157
CEBPA,PTPN13,-0.785264799
CEBPA,BCL2L11,-0.784254626
CEBPA,MAP2K3,-0.784213956
CEBPA,SPI1,-0.783557399
HOXA13,TMEM173,-0.783092643
HOXA13,CEBPA,-0.783026169
HOXA13,DLX2,-0.782074727
HOXA13,HOXB9,-0.781307948
C3orf72,PTPN13,-0.781292878
SPI1,FOXF1,-0.779290897
CEBPA,CEBPE,-0.778304545
HOXA13,TP73,-0.778080102
HOXA13,negative,-0.776442879
SET,NIT1,-0.776341769
CEBPA,KIAA1804,-0.774078055
FEV,NIT1,-0.773617819
PTPN13,HOXA13,-0.772860818
CEBPE,FOXL2,-0.770521249
HOXA13,IKZF3,-0.77022146
CEBPA,SLC4A1,-0.77013771
HOXA13,BAK1,-0.769372824
CEBPA,HNF4A,-0.769331516
HOXA13,GCH1,-0.769141296
SLC4A1,NIT1,-0.768777485
CEBPA,CELF2,-0.765809275
TP73,POU3F2,-0.765256148
AHR,TP73,-0.765062528
HOXA13,negative,-0.764684922
NIT1,DUSP9,-0.764659478
CEBPA,HES7,-0.763724649
ZBTB10,CLDN6,-0.762810844
HOXB9,C3orf72,-0.762689648
FOXA1,CEBPA,-0.76252939
HOXA13,SGK1,-0.761591935
C3orf72,FOXA3,-0.761474304
RHOXF2B,NIT1,-0.760695331
FOXF1,ATL1,-0.759206788
CEBPE,HOXA13,-0.759109643
PLEKHO2,ZBTB10,-0.759024636
C3orf72,FOXF1,-0.758972573
CEBPE,C3orf72,-0.758859093
C3orf72,SAMD1,-0.758615974
CEBPE,HOXA13,-0.758204629
AHR,IER5L,-0.756281064
C3orf72,OSR2,-0.756210682
CEBPA,FOSB,-0.756028309
PRTG,NIT1,-0.75556347
SGK1,NIT1,-0.755556776
TP73,MAP4K5,-0.755398257
FOXO4,NIT1,-0.755051593
NIT1,FOXL2,-0.75387266
SNAI1,CEBPE,-0.753760461
CEBPA,MAP2K3,-0.753579373
HOXA13,ZBTB10,-0.752665279
FOXA1,PRTG,-0.751992778
PRTG,SNAI1,-0.751479171
PRDM1,SPI1,-0.751435603
NIT1,FOXA1,-0.751254788
TP73,JUN,-0.751162187
HNF4A,CEBPA,-0.750928867
NIT1,SPI1,-0.750804771
NIT1,KIF2C,-0.749704234
KIAA1804,HOXC13,-0.749112267
HOXC13,KIAA1804,-0.749022666
SET,NIT1,-0.748721124
IRF1,NIT1,-0.748671757
HOXC13,CEBPA,-0.747178317
PLEKHO2,HOXA13,-0.747023415
RHOXF2B,FOXO4,-0.746619911
RHOXF2B,AHR,-0.746196364
CEBPE,NIT1,-0.745982713
CEBPB,CEBPA,-0.745672858
NIT1,SET,-0.7456181
NIT1,IRF1,-0.745283691
PRTG,LYL1,-0.744911739
CEBPB,NIT1,-0.744848264
CEBPA,MAP2K6,-0.744749911
TP73,COL2A1,-0.744111598
HOXC13,POU3F2,-0.744011093
MIDN,HOXA13,-0.743844379
CEBPA,POU3F2,-0.743755798
KIAA1804,SPI1,-0.743660579
SLC4A1,TP73,-0.743440787
C3orf72,PRDM1,-0.742860767
HOXA13,FOXL2,-0.740968551
C3orf72,DLX2,-0.740920656
NIT1,BAK1,-0.740735686
HOXB9,PRDM1,-0.740668944
AHR,CEBPE,-0.740026882
HOXC13,STIL,-0.739576327
CEBPB,KIAA1804,-0.738774313
negative,CEBPA,-0.738483157
NIT1,PLEKHO2,-0.737783478
RHOXF2B,NIT1,-0.737779037
CEBPA,ZBTB10,-0.737577907
DUSP9,RHOXF2B,-0.73747484
BAK1,NIT1,-0.737442884
HOXA13,FOXF1,-0.73741086
PLEKHO2,BAK1,-0.736871386
HOXA13,negative,-0.736128118
SNAI1,KIAA1804,-0.735650433
HOXA13,MCOLN3,-0.735445582
HOXC13,CEBPB,-0.735292534
CEBPE,FOSB,-0.735234856
FOXF1,FOXF1,-0.735205115
CEBPA,MCOLN3,-0.735200862
MIDN,ZBTB10,-0.734453357
PTPN9,HOXA13,-0.734157089
C3orf72,HOXA13,-0.733469859
ZBTB10,NIT1,-0.732810941
SPI1,KIAA1804,-0.732785331
FOSB,CEBPA,-0.73262631
SPI1,JUN,-0.732486345
CEBPA,PRDM1,-0.732445204
PTPN1,NIT1,-0.732245882
HOXA13,POU3F2,-0.732063465
RREB1,C3orf72,-0.732022003
HOXA13,IRF1,-0.731790549
HOXC13,CEBPA,-0.731688209
HOXA13,FOXA3,-0.731508915
CEBPB,SNAI1,-0.731396122
HK2,NIT1,-0.731098694
ETS2,C3orf72,-0.730728925
C3orf72,DLX2,-0.730655734
PRDM1,HOXB9,-0.730489774
HOXA13,FOXO4,-0.730472762
HOXA13,FOXA1,-0.730333227
TP73,NIT1,-0.730181871
NIT1,RHOXF2B,-0.730167873
PTPN13,CEBPA,-0.72994398
IRF1,CEBPE,-0.729711753
MIDN,NIT1,-0.729488503
HOXA13,negative,-0.729479256
FOXA1,FOXO4,-0.729435218
ZBTB10,FOXA1,-0.729343681
CEBPA,SLC38A2,-0.729324974
NIT1,PLK4,-0.729012163
NIT1,KIF18B,-0.728683404
ZBTB10,FOXA3,-0.728267363
negative,HOXA13,-0.728257909
IRF1,CEBPE,-0.727962225
HOXA13,CBFA2T3,-0.727866738
KIF2C,CEBPA,-0.727509659
RHOXF2B,FOXL2,-0.727379719
TSC22D1,HOXA13,-0.727081432
FOXL2,ATL1,-0.726559357
POU3F2,HOXA13,-0.726084548
HOXA13,IER5L,-0.725994957
C3orf72,ZNF318,-0.725990271
HOXA13,CLDN6,-0.725828672
ZBTB10,POU3F2,-0.725444648
FOXA3,C3orf72,-0.72537455
C3orf72,ZNF318,-0.724916908
HOXA13,CEBPB,-0.724807253
HOXA13,CEBPE,-0.724558118
CLDN6,CEBPA,-0.724507129
SPI1,NIT1,-0.724334482
CEBPA,RHOXF2B,-0.72424901
FOXO4,HOXA13,-0.723917981
negative,NIT1,-0.723560183
FOXL2,NIT1,-0.723441008
HOXA13,CEBPA,-0.723301873
STIL,RHOXF2B,-0.723245547
CEBPA,CEBPB,-0.723014348
TP73,DUSP9,-0.722686691
TP73,SET,-0.72239376
C3orf72,FOXA3,-0.72205175
TP73,SAMD1,-0.722016297
CNN1,HOXA13,-0.721914586
DUSP9,C3orf72,-0.721652173
HOXC13,FOXA3,-0.721173799
NIT1,JUN,-0.720867644
C3orf72,ATL1,-0.72042279
C3orf72,STIL,-0.720253279
NCL,HOXA13,-0.720199511
AHR,RHOXF2B,-0.720017895
CEBPB,CEBPA,-0.719880462
KIAA1804,HOXA13,-0.719805211
CEBPB,POU3F2,-0.71955265
NIT1,PRDM1,-0.719340137
HOXA13,FEV,-0.719254789
AHR,CEBPA,-0.719186133
C3orf72,JUN,-0.719077271
HOXA13,MAPK1,-0.719030271
GLB1L2,C3orf72,-0.718959212
CEBPA,KIF2C,-0.718750992
HOXB9,KIAA1804,-0.718717849
C3orf72,SNAI1,-0.718430622
FOXF1,FOXF1,-0.718221198
PRDM1,MAPK1,-0.71767643
AHR,BAK1,-0.717523698
ZBTB10,DLX2,-0.717509026
PRTG,MAP4K3,-0.717483676
C3orf72,CNNM4,-0.717244856
CEBPE,POU3F2,-0.717224337
MEIS1,ZBTB10,-0.717203062
STIL,PRTG,-0.717054089
TP73,CELF2,-0.717009951
HOXA13,ATL1,-0.716792668
CEBPA,RUNX1T1,-0.71657335
C3orf72,MAP4K3,-0.716528858
C3orf72,FOXF1,-0.716512944
KIAA1804,HOXA13,-0.716432964
negative,NIT1,-0.716410152
AHR,KIAA1804,-0.716314362
ZBTB10,KIAA1804,-0.716251629
C3orf72,PLEKHO2,-0.716152593
ZBTB10,FOXA1,-0.716048108
PRDM1,ETS2,-0.715576676
HOXB9,HOXA13,-0.715512584
RHOXF2B,PRDM1,-0.71531829
TP73,ZNF318,-0.715306864
SNAI1,DUSP9,-0.715298604
ZBTB10,DUSP9,-0.714794669
FEV,PRDM1,-0.714786962
ZBTB10,MEIS1,-0.71453998
NIT1,NIT1,-0.714148596
HOXA13,BCL2L11,-0.714092831
HOXA13,NCL,-0.713993873
SLC4A1,SET,-0.713730679
C3orf72,HOXB9,-0.713666641
NIT1,POU3F2,-0.713535968
TP73,KIAA1804,-0.713482325
HOXA13,GLB1L2,-0.713471669
COL1A1,FOXO4,-0.713354399
